Vármegye;Település;Cím;Típus;Akadálymentesség;Választópolgárok száma
BUDAPEST főváros;Budapest 03. kerület;1035 Budapest 03, Harrer Pál utca 7. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;1141
BUDAPEST főváros;Budapest 03. kerület;1035 Budapest 03, Harrer Pál utca 7. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;1070
BUDAPEST főváros;Budapest 03. kerület;1031 Budapest 03, Gázgyári lakótelepi Óvoda;10 ezer lakos feletti település, nem megyei jogú város;Igen;660
BUDAPEST főváros;Budapest 03. kerület;1035 Budapest 03, Kerék utca 18-20. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;823
BUDAPEST főváros;Budapest 03. kerület;1035 Budapest 03, Szél utca 11-13. (Szakkollégium);10 ezer lakos feletti település, nem megyei jogú város;Nem;882
BUDAPEST főváros;Budapest 03. kerület;1035 Budapest 03, Kerék utca 18-20. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;839
BUDAPEST főváros;Budapest 03. kerület;1035 Budapest 03, Kerék utca 18-20. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;788
BUDAPEST főváros;Budapest 03. kerület;1033 Budapest 03, Vörösvári út 93. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;1005
BUDAPEST főváros;Budapest 03. kerület;1033 Budapest 03, Meggyfa utca 14. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;829
BUDAPEST főváros;Budapest 03. kerület;1035 Budapest 03, Kerék utca 18-20. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;919
BUDAPEST főváros;Budapest 03. kerület;1035 Budapest 03, Kerék utca 18-20. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;825
BUDAPEST főváros;Budapest 03. kerület;1035 Budapest 03, Kerék utca 18-20. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;850
BUDAPEST főváros;Budapest 03. kerület;1035 Budapest 03, Szellő utca 9-11. (Óvoda, Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;908
BUDAPEST főváros;Budapest 03. kerület;1033 Budapest 03, Meggyfa utca 14. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;800
BUDAPEST főváros;Budapest 03. kerület;1035 Budapest 03, Szellő utca 9-11. (Óvoda, Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;775
BUDAPEST főváros;Budapest 03. kerület;1033 Budapest 03, Szérűskert utca 40-42. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;844
BUDAPEST főváros;Budapest 03. kerület;1033 Budapest 03, Szérűskert utca 40-42. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;889
BUDAPEST főváros;Budapest 03. kerület;1033 Budapest 03, Szérűskert utca 40-42. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;894
BUDAPEST főváros;Budapest 03. kerület;1033 Budapest 03, Szérűskert utca 37. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;860
BUDAPEST főváros;Budapest 03. kerület;1033 Budapest 03, Szérűskert utca 40-42. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;762
BUDAPEST főváros;Budapest 03. kerület;1033 Budapest 03, Szérűskert utca 40-42. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;987
BUDAPEST főváros;Budapest 03. kerület;1037 Budapest 03, Gyógyszergyár utca 22-24. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;904
BUDAPEST főváros;Budapest 03. kerület;1037 Budapest 03, Gyógyszergyár utca 22-24. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;817
BUDAPEST főváros;Budapest 03. kerület;1031 Budapest 03, Keve utca 41. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;838
BUDAPEST főváros;Budapest 03. kerület;1031 Budapest 03, Arató Emil tér 1. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;781
BUDAPEST főváros;Budapest 03. kerület;1031 Budapest 03, Arató Emil tér 1. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;776
BUDAPEST főváros;Budapest 03. kerület;1031 Budapest 03, Arató Emil tér 1. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;860
BUDAPEST főváros;Budapest 03. kerület;1031 Budapest 03, Arató Emil tér 1. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;880
BUDAPEST főváros;Budapest 03. kerület;1031 Budapest 03, Arató Emil tér 1. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;788
BUDAPEST főváros;Budapest 03. kerület;1031 Budapest 03, Arató Emil tér 1. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;890
BUDAPEST főváros;Budapest 03. kerület;1031 Budapest 03, Arató Emil tér 1. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;714
BUDAPEST főváros;Budapest 03. kerület;1031 Budapest 03, Arató Emil tér 1. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;1014
