"Vármegye","Település","EVK Sorszám","Szavazókör sorszáma","Cím","Típus","Akadálymentesség","Választópolgárok száma"
"BUDAPEST főváros","Budapest 03. kerület","09","021","1037 Budapest 03, Bécsi út 375. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 363"
"BUDAPEST főváros","Budapest 03. kerület","09","022","1037 Budapest 03, Bécsi út 375. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 371"
"BUDAPEST főváros","Budapest 03. kerület","12","023","1038 Budapest 03, Ürömi út 2. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","988"
"BUDAPEST főváros","Budapest 03. kerület","09","024","1038 Budapest 03, Ürömi út 2. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 057"
"BUDAPEST főváros","Budapest 03. kerület","12","025","1038 Budapest 03, Ürömi út 2. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","779"
"BUDAPEST főváros","Budapest 03. kerület","12","026","1038 Budapest 03, Dózsa György utca 42. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","765"
"BUDAPEST főváros","Budapest 03. kerület","12","027","1038 Budapest 03, Dózsa György utca 42. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","922"
"BUDAPEST főváros","Budapest 03. kerület","13","028","1038 Budapest 03, Dózsa György utca 42. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 004"
"BUDAPEST főváros","Budapest 03. kerület","13","029","1038 Budapest 03, Templom utca 5. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","944"
"BUDAPEST főváros","Budapest 03. kerület","14","030","1038 Budapest 03, Templom utca 5. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","952"
"BUDAPEST főváros","Budapest 03. kerület","01","031","1036 Budapest 03, Mókus utca 1. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","866"
"BUDAPEST főváros","Budapest 03. kerület","01","032","1036 Budapest 03, Mókus utca 2. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","969"
"BUDAPEST főváros","Budapest 03. kerület","01","033","1036 Budapest 03, Mókus utca 2. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","871"
"BUDAPEST főváros","Budapest 03. kerület","03","034","1032 Budapest 03, Solymár utca 12. (Bölcsőde)","10 ezer lakos feletti település, nem megyei jogú város","Igen","811"
"BUDAPEST főváros","Budapest 03. kerület","03","035","1032 Budapest 03, Zápor utca 90. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","820"
"BUDAPEST főváros","Budapest 03. kerület","04","036","1032 Budapest 03, Zápor utca 90. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","802"
"BUDAPEST főváros","Budapest 03. kerület","04","037","1032 Budapest 03, San Marco utca 81. (Óbudai Kulturális Központ)","10 ezer lakos feletti település, nem megyei jogú város","Igen","947"
"BUDAPEST főváros","Budapest 03. kerület","04","038","1032 Budapest 03, Váradi utca 15/B. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","769"
"BUDAPEST főváros","Budapest 03. kerület","05","039","1032 Budapest 03, Váradi utca 15/A. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","791"
"BUDAPEST főváros","Budapest 03. kerület","05","040","1032 Budapest 03, Váradi utca 15/B. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","721"
"BUDAPEST főváros","Budapest 03. kerület","05","041","1032 Budapest 03, Váradi utca 15/B. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","781"
"BUDAPEST főváros","Budapest 03. kerület","02","042","1033 Budapest 03, Harrer Pál utca 7. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","973"
"BUDAPEST főváros","Budapest 03. kerület","02","043","1033 Budapest 03, Harrer Pál utca 7. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","906"
"BUDAPEST főváros","Budapest 03. kerület","02","044","1033 Budapest 03, Harrer Pál utca 7. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","807"
"BUDAPEST főváros","Budapest 03. kerület","02","045","1035 Budapest 03, Harrer Pál utca 7. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 141"
"BUDAPEST főváros","Budapest 03. kerület","02","046","1035 Budapest 03, Harrer Pál utca 7. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 070"
"BUDAPEST főváros","Budapest 03. kerület","02","047","1031 Budapest 03, Gázgyári lakótelepi Óvoda","10 ezer lakos feletti település, nem megyei jogú város","Igen","660"
"BUDAPEST főváros","Budapest 03. kerület","06","048","1035 Budapest 03, Kerék utca 18-20. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","823"
"BUDAPEST főváros","Budapest 03. kerület","06","049","1035 Budapest 03, Szél utca 11-13. (Szakkollégium)","10 ezer lakos feletti település, nem megyei jogú város","Nem","882"
"BUDAPEST főváros","Budapest 03. kerület","06","050","1035 Budapest 03, Kerék utca 18-20. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","839"
"BUDAPEST főváros","Budapest 03. kerület","05","051","1035 Budapest 03, Kerék utca 18-20. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","788"
"BUDAPEST főváros","Budapest 03. kerület","05","052","1033 Budapest 03, Vörösvári út 93. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 005"
"BUDAPEST főváros","Budapest 03. kerület","05","053","1033 Budapest 03, Meggyfa utca 14. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","829"
"BUDAPEST főváros","Budapest 03. kerület","06","054","1035 Budapest 03, Kerék utca 18-20. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","919"
"BUDAPEST főváros","Budapest 03. kerület","06","055","1035 Budapest 03, Kerék utca 18-20. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","825"
"BUDAPEST főváros","Budapest 03. kerület","06","056","1035 Budapest 03, Kerék utca 18-20. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","850"
"BUDAPEST főváros","Budapest 03. kerület","06","057","1035 Budapest 03, Szellő utca 9-11. (Óvoda, Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","908"
"BUDAPEST főváros","Budapest 03. kerület","07","058","1033 Budapest 03, Meggyfa utca 14. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","800"
"BUDAPEST főváros","Budapest 03. kerület","07","059","1035 Budapest 03, Szellő utca 9-11. (Óvoda, Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","775"
"BUDAPEST főváros","Budapest 03. kerület","07","060","1033 Budapest 03, Szérűskert utca 40-42. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","844"
